Member ID,Check-in Date
MEM0002,2023-10-24
MEM0002,2024-07-14
MEM0002,2024-03-19
MEM0002,2024-02-13
MEM0002,2023-10-17
MEM0002,2024-05-06
MEM0002,2024-12-18
MEM0002,2023-05-28
MEM0002,2024-03-25
MEM0002,2024-02-04
MEM0002,2024-08-21
MEM0002,2023-07-02
MEM0002,2023-11-02
MEM0002,2023-06-04
MEM0002,2024-01-14
MEM0002,2023-09-02
MEM0002,2023-12-20
MEM0002,2023-10-04
MEM0002,2024-07-03
MEM0002,2023-10-25
MEM0002,2023-07-19
MEM0002,2023-09-23
MEM0002,2024-07-19
MEM0002,2024-07-21
MEM0002,2023-09-07
MEM0002,2024-02-04
MEM0002,2024-01-08
MEM0002,2023-09-15
MEM0002,2024-10-17
MEM0002,2024-09-10
MEM0002,2023-09-02
MEM0002,2023-10-26
MEM0002,2024-04-28
MEM0002,2023-11-05
MEM0002,2023-11-03
MEM0002,2024-12-26
MEM0002,2024-06-27
MEM0002,2024-02-27
MEM0002,2024-10-11
MEM0002,2024-06-21
MEM0002,2023-10-08
MEM0002,2023-12-07
MEM0002,2024-06-30
MEM0002,2023-06-28
MEM0002,2024-08-28
MEM0002,2024-09-07
MEM0002,2024-06-04
MEM0002,2023-06-17
MEM0002,2023-07-03
MEM0002,2024-01-11
MEM0002,2024-05-25
MEM0002,2024-12-09
MEM0002,2024-08-06
MEM0002,2024-03-04
MEM0002,2023-06-22
MEM0002,2024-01-07
MEM0002,2024-02-27
MEM0002,2024-03-05
MEM0002,2024-09-18
MEM0002,2024-08-21
MEM0002,2024-10-23
MEM0002,2024-11-23
MEM0002,2023-12-04
MEM0002,2023-07-14
MEM0002,2024-10-19
MEM0002,2023-06-12
MEM0002,2023-11-14
MEM0002,2024-01-01
MEM0002,2023-10-31
MEM0002,2024-09-14
MEM0002,2023-07-11
MEM0002,2024-06-02
MEM0002,2024-10-25
MEM0002,2023-09-02
MEM0002,2023-07-02
MEM0002,2024-03-01
MEM0002,2024-05-09
MEM0002,2024-10-04
MEM0002,2024-03-23
MEM0002,2023-11-23
MEM0002,2023-09-02
MEM0002,2023-09-19
MEM0002,2023-12-03
MEM0002,2024-02-03
MEM0002,2023-11-03
MEM0002,2024-02-06
MEM0003,2023-06-29
MEM0003,2024-03-20
MEM0003,2023-10-23
MEM0003,2024-02-06
MEM0003,2023-08-24
MEM0003,2024-02-14
MEM0003,2024-04-08
MEM0003,2023-09-30
MEM0003,2023-09-06
MEM0003,2023-10-04
MEM0003,2024-01-30
MEM0003,2023-08-14
MEM0003,2024-02-25
MEM0003,2024-01-03
MEM0003,2023-10-25
MEM0003,2023-06-10
MEM0003,2023-10-19
MEM0003,2024-01-04
MEM0003,2023-05-28
MEM0003,2024-03-03
MEM0003,2023-05-15
MEM0003,2024-03-13
MEM0003,2024-03-10
MEM0003,2023-06-07
MEM0003,2023-10-22
MEM0003,2023-05-22
MEM0003,2024-03-18
MEM0003,2024-01-21
MEM0003,2023-09-21
MEM0003,2023-09-22
MEM0003,2023-08-02
MEM0003,2024-03-19
MEM0003,2024-02-14
MEM0003,2023-12-03
MEM0003,2024-04-08
MEM0003,2023-06-22
MEM0003,2023-10-02
MEM0003,2023-11-04
MEM0003,2023-07-04
MEM0003,2023-11-08
MEM0003,2023-09-04
MEM0003,2023-09-29
MEM0003,2024-03-11
MEM0003,2023-06-29
MEM0003,2024-04-08
MEM0003,2024-03-02
MEM0003,2023-10-29
MEM0003,2023-10-19
MEM0003,2024-03-23
MEM0003,2024-01-28
MEM0003,2023-06-25
MEM0003,2023-08-11
MEM0003,2024-01-21
MEM0003,2023-06-24
MEM0003,2023-07-01
MEM0003,2023-08-18
MEM0003,2023-05-07
MEM0003,2023-08-13
MEM0003,2023-11-14
MEM0003,2024-01-19
MEM0003,2024-04-16
MEM0003,2023-06-18
MEM0003,2024-03-08
MEM0003,2024-03-05
MEM0003,2023-09-23
MEM0003,2024-01-26
MEM0003,2023-09-03
MEM0003,2023-08-16
MEM0003,2023-10-07
MEM0003,2023-09-26
MEM0003,2023-09-24
MEM0003,2023-08-30
MEM0003,2024-03-16
MEM0003,2024-02-01
MEM0003,2023-08-02
MEM0003,2023-06-29
MEM0003,2024-04-12
MEM0003,2023-12-17
MEM0003,2023-08-27
MEM0003,2024-03-15
MEM0003,2024-02-05
MEM0003,2023-09-06
MEM0003,2023-09-08
MEM0003,2023-06-29
MEM0003,2023-09-01
MEM0003,2023-05-03
MEM0003,2023-12-27
MEM0003,2024-02-16
MEM0003,2023-08-06
MEM0003,2023-09-05
MEM0003,2023-08-28
MEM0003,2023-06-19
MEM0003,2023-07-30
MEM0004,2023-05-15
MEM0004,2023-11-09
MEM0004,2023-05-22
MEM0004,2023-08-08
MEM0004,2023-07-29
MEM0004,2023-06-01
MEM0004,2023-09-08
MEM0004,2023-10-13
MEM0004,2023-05-15
MEM0004,2023-04-23
MEM0004,2023-06-09
MEM0004,2023-10-31
MEM0004,2023-09-27
MEM0004,2023-10-11
MEM0004,2023-04-15
MEM0004,2023-06-15
MEM0004,2023-11-16
MEM0004,2023-10-15
MEM0004,2023-03-30
MEM0004,2023-11-12
MEM0004,2023-03-17
MEM0004,2023-11-08
MEM0004,2023-06-15
MEM0004,2023-09-03
MEM0004,2023-10-16
MEM0004,2023-11-12
MEM0004,2023-08-01
MEM0004,2023-06-11
MEM0004,2023-11-19
MEM0004,2023-03-11
MEM0004,2023-03-23
MEM0004,2023-11-09
MEM0004,2023-11-20
MEM0004,2023-08-14
MEM0004,2023-08-06
MEM0004,2023-09-01
MEM0004,2023-08-17
MEM0004,2023-04-09
MEM0004,2023-09-02
MEM0004,2023-06-16
MEM0004,2023-05-11
MEM0004,2023-08-22
MEM0004,2023-04-19
MEM0004,2023-04-20
MEM0004,2023-03-19
MEM0004,2023-06-10
MEM0004,2023-11-15
MEM0004,2023-11-04
MEM0004,2023-04-11
MEM0004,2023-10-08
MEM0004,2023-06-05
MEM0004,2023-11-26
MEM0004,2023-06-08
MEM0004,2023-06-05
MEM0004,2023-06-30
MEM0004,2023-06-20
MEM0004,2023-09-19
MEM0004,2023-06-29
MEM0004,2023-05-21
MEM0004,2023-10-10
MEM0004,2023-11-11
MEM0004,2023-08-18
MEM0004,2023-09-15
MEM0004,2023-10-20
MEM0004,2023-08-31
MEM0004,2023-06-14
MEM0004,2023-04-12
MEM0004,2023-06-11
MEM0004,2023-08-06
MEM0004,2023-08-05
MEM0004,2023-09-13
MEM0004,2023-10-17
MEM0004,2023-04-13
MEM0004,2023-09-06
MEM0004,2023-03-20
MEM0004,2023-10-10
MEM0004,2023-05-08
MEM0004,2023-05-30
MEM0004,2023-10-10
MEM0004,2023-09-10
MEM0004,2023-03-26
MEM0004,2023-08-31
MEM0004,2023-06-15
MEM0004,2023-10-26
MEM0004,2023-05-22
MEM0004,2023-11-27
MEM0004,2023-09-29
MEM0004,2023-10-16
MEM0004,2023-04-28
MEM0004,2023-07-29
MEM0004,2023-05-15
MEM0004,2023-06-14
MEM0004,2023-04-01
MEM0004,2023-04-29
MEM0004,2023-08-05
MEM0004,2023-07-29
MEM0004,2023-05-03
MEM0004,2023-04-15
MEM0004,2023-06-24
MEM0004,2023-09-04
MEM0004,2023-04-18
MEM0004,2023-09-09
MEM0004,2023-10-16
MEM0005,2024-01-08
MEM0005,2024-04-10
MEM0005,2023-10-30
MEM0005,2023-08-24
MEM0005,2023-10-28
MEM0005,2024-10-30
MEM0005,2024-12-19
MEM0005,2024-09-19
MEM0005,2024-04-24
MEM0005,2024-04-01
MEM0005,2023-08-22
MEM0005,2024-02-05
MEM0005,2024-01-03
MEM0005,2024-01-30
MEM0005,2024-02-01
MEM0005,2024-09-11
MEM0005,2024-10-22
MEM0005,2024-05-24
MEM0005,2023-12-15
MEM0005,2024-02-25
MEM0005,2023-08-20
MEM0005,2023-09-13
MEM0005,2024-01-27
MEM0005,2024-10-10
MEM0005,2024-07-19
MEM0005,2023-12-29
MEM0005,2024-12-23
MEM0005,2024-08-14
MEM0005,2024-07-01
MEM0005,2024-07-22
MEM0005,2024-12-27
MEM0005,2024-01-07
MEM0005,2024-07-07
MEM0005,2024-03-19
MEM0005,2024-06-11
MEM0005,2023-12-25
MEM0005,2024-06-02
MEM0005,2023-10-24
MEM0005,2024-04-23
MEM0005,2024-10-03
MEM0005,2024-05-16
MEM0005,2024-11-02
MEM0005,2024-08-13
MEM0005,2024-02-13
MEM0005,2024-01-29
MEM0005,2023-11-14
MEM0005,2024-03-04
MEM0005,2024-07-26
MEM0005,2023-09-03
MEM0005,2023-09-23
MEM0005,2023-12-19
MEM0005,2024-11-08
MEM0005,2024-02-04
MEM0005,2024-01-03
MEM0005,2024-04-13
MEM0005,2024-03-22
MEM0005,2023-12-19
MEM0005,2023-10-12
MEM0005,2024-01-10
MEM0005,2024-12-03
MEM0005,2024-11-13
MEM0005,2024-06-27
MEM0005,2024-09-01
MEM0005,2024-08-10
MEM0005,2024-10-11
MEM0005,2023-08-16
MEM0005,2024-09-05
MEM0005,2024-11-18
MEM0005,2024-07-28
MEM0005,2024-02-21
MEM0005,2024-02-22
MEM0005,2024-08-18
MEM0005,2024-09-27
MEM0005,2024-06-22
MEM0005,2024-10-05
MEM0005,2024-10-10
MEM0005,2023-12-10
MEM0005,2023-12-27
MEM0005,2023-10-12
MEM0005,2023-09-28
MEM0005,2024-02-04
MEM0005,2024-01-22
MEM0005,2024-02-04
MEM0005,2024-06-27
MEM0005,2024-06-13
MEM0005,2024-01-11
MEM0005,2023-11-03
MEM0005,2024-08-23
MEM0005,2024-03-15
MEM0005,2024-03-05
MEM0005,2024-04-23
MEM0005,2024-03-31
MEM0005,2024-01-26
MEM0005,2024-03-29
MEM0005,2024-01-09
MEM0005,2023-09-04
MEM0005,2024-10-29
MEM0005,2024-09-20
MEM0005,2023-10-01
MEM0005,2024-04-04
MEM0005,2024-06-15
MEM0005,2023-08-29
MEM0005,2024-01-05
MEM0005,2024-10-03
MEM0005,2023-08-16
MEM0005,2024-08-22
MEM0005,2023-10-08
MEM0005,2024-08-23
MEM0005,2024-04-30
MEM0005,2024-01-06
MEM0005,2024-11-28
MEM0005,2024-10-29
MEM0005,2024-11-16
MEM0005,2023-08-27
MEM0006,2024-03-13
MEM0006,2024-10-25
MEM0006,2024-04-24
MEM0006,2024-02-10
MEM0006,2024-03-27
MEM0006,2024-05-16
MEM0006,2024-09-23
MEM0006,2024-05-08
MEM0006,2023-12-10
MEM0006,2024-06-19
MEM0006,2024-11-03
MEM0006,2023-12-23
MEM0006,2024-06-27
MEM0006,2024-05-22
MEM0006,2024-12-27
MEM0006,2024-04-05
MEM0006,2024-05-31
MEM0006,2024-06-11
MEM0006,2024-06-19
MEM0006,2024-07-09
MEM0006,2024-12-29
MEM0006,2024-12-13
MEM0006,2023-12-28
MEM0006,2023-12-17
MEM0006,2024-07-22
MEM0006,2024-12-06
MEM0006,2024-02-02
MEM0006,2024-11-17
MEM0006,2024-07-25
MEM0006,2024-05-27
MEM0006,2024-09-10
MEM0006,2024-12-25
MEM0006,2023-11-22
MEM0006,2024-09-19
MEM0006,2024-08-24
MEM0006,2024-07-11
MEM0006,2024-07-20
MEM0006,2024-11-11
MEM0006,2023-11-17
MEM0006,2024-03-10
MEM0006,2024-08-27
MEM0006,2024-11-20
MEM0006,2024-01-16
MEM0006,2024-04-06
MEM0006,2024-06-23
MEM0006,2024-07-08
MEM0006,2024-05-07
MEM0007,2024-08-19
MEM0007,2023-08-29
MEM0007,2023-08-23
MEM0007,2024-10-08
MEM0007,2024-06-04
MEM0007,2024-06-24
MEM0007,2024-10-15
MEM0007,2024-09-03
MEM0007,2024-07-26
MEM0007,2023-06-08
MEM0007,2024-12-01
MEM0007,2024-08-16
MEM0007,2023-08-07
MEM0007,2023-10-08
MEM0007,2023-08-09
MEM0007,2023-08-02
MEM0007,2024-08-15
MEM0007,2023-05-17
MEM0007,2023-07-06
MEM0007,2024-08-04
MEM0007,2024-08-07
MEM0007,2024-09-15
MEM0007,2023-06-19
MEM0007,2024-04-28
MEM0007,2023-08-19
MEM0007,2023-07-27
MEM0007,2024-11-17
MEM0007,2023-10-17
MEM0007,2024-01-21
MEM0007,2024-07-27
MEM0007,2023-09-11
MEM0007,2024-03-17
MEM0007,2024-02-08
MEM0007,2023-07-09
MEM0007,2024-01-07
MEM0007,2024-06-08
MEM0007,2024-06-20
MEM0007,2024-03-14
MEM0007,2023-12-09
MEM0007,2023-12-31
MEM0007,2024-12-14
MEM0007,2023-07-30
MEM0007,2024-07-24
MEM0007,2023-08-27
MEM0007,2024-07-11
MEM0007,2024-03-17
MEM0007,2023-08-22
MEM0007,2024-04-15
MEM0007,2024-07-24
MEM0007,2024-08-05
MEM0007,2024-03-19
MEM0007,2024-01-20
MEM0007,2023-10-29
MEM0007,2024-09-08
MEM0007,2024-04-15
MEM0007,2024-11-08
MEM0007,2023-08-30
MEM0007,2024-11-29
MEM0007,2023-08-05
MEM0007,2023-09-26
MEM0007,2023-10-01
MEM0007,2023-11-16
MEM0007,2024-06-20
MEM0007,2024-04-10
MEM0007,2024-10-05
MEM0007,2023-07-24
MEM0008,2023-07-19
MEM0008,2023-09-25
MEM0008,2023-12-06
MEM0008,2023-09-09
MEM0008,2024-06-14
MEM0008,2024-11-07
MEM0008,2024-05-31
MEM0008,2024-03-13
MEM0008,2023-12-18
MEM0008,2023-12-18
MEM0008,2023-09-07
MEM0008,2023-08-06
MEM0008,2023-07-27
MEM0008,2024-07-13
MEM0008,2023-06-11
MEM0008,2024-09-14
MEM0008,2024-11-21
MEM0008,2024-07-15
MEM0008,2024-10-31
MEM0008,2024-01-25
MEM0008,2024-11-11
MEM0008,2024-05-17
MEM0008,2023-07-22
MEM0008,2024-12-03
MEM0008,2023-08-23
MEM0008,2023-08-18
MEM0008,2024-02-10
MEM0008,2023-07-23
MEM0008,2023-10-05
MEM0008,2024-01-06
MEM0008,2024-01-31
MEM0008,2023-08-01
MEM0008,2024-05-21
MEM0008,2023-09-21
MEM0008,2023-07-24
MEM0008,2024-12-30
MEM0008,2024-05-08
MEM0008,2023-07-02
MEM0008,2024-02-18
MEM0008,2023-06-14
MEM0008,2024-02-14
MEM0008,2024-04-04
MEM0008,2023-08-01
MEM0008,2024-11-13
MEM0008,2024-09-22
MEM0008,2023-07-04
MEM0008,2023-08-23
MEM0008,2024-01-08
MEM0008,2024-06-26
MEM0008,2024-06-05
MEM0008,2024-11-13
MEM0008,2024-04-13
MEM0008,2023-06-13
MEM0008,2023-06-09
MEM0008,2024-06-03
MEM0008,2024-10-26
MEM0008,2024-03-06
MEM0008,2024-10-24
MEM0008,2023-06-21
MEM0008,2023-12-15
MEM0008,2024-10-03
MEM0008,2023-07-04
MEM0008,2023-07-15
MEM0008,2024-03-05
MEM0008,2024-01-23
MEM0008,2023-08-31
MEM0008,2024-09-22
MEM0008,2023-10-10
MEM0008,2024-11-24
MEM0008,2023-10-29
MEM0008,2024-11-12
MEM0008,2024-01-04
MEM0008,2023-07-01
MEM0008,2024-07-04
MEM0008,2023-08-12
MEM0008,2024-01-25
MEM0008,2023-09-23
MEM0008,2023-10-30
MEM0008,2023-09-25
MEM0008,2024-01-20
MEM0008,2023-09-25
MEM0008,2024-09-18
MEM0008,2023-07-10
MEM0008,2024-06-09
MEM0008,2024-12-11
MEM0008,2024-08-04
MEM0008,2024-11-05
MEM0008,2024-03-14
MEM0008,2024-04-21
MEM0008,2024-08-22
MEM0008,2024-04-16
MEM0008,2024-06-17
MEM0008,2024-03-21
MEM0008,2024-08-16
MEM0008,2024-03-09
MEM0008,2024-10-21
MEM0008,2024-11-03
MEM0008,2024-05-21
MEM0008,2024-08-25
MEM0008,2024-05-21
MEM0008,2023-10-21
MEM0008,2024-02-04
MEM0008,2024-11-30
MEM0008,2023-07-16
MEM0008,2024-01-21
MEM0008,2024-12-05
MEM0008,2024-01-15
MEM0008,2023-06-12
MEM0008,2024-04-23
MEM0008,2024-09-16
MEM0008,2023-08-20
MEM0008,2023-06-10
MEM0008,2023-10-02
MEM0008,2024-10-22
MEM0008,2024-12-31
MEM0008,2024-08-20
MEM0008,2023-12-17
MEM0008,2024-07-02
MEM0008,2023-07-02
MEM0008,2024-08-14
MEM0008,2023-11-26
MEM0008,2024-04-01
MEM0008,2024-04-27
MEM0008,2024-07-20
MEM0008,2023-10-02
MEM0008,2024-01-17
MEM0008,2024-11-19
MEM0008,2023-09-27
MEM0008,2023-10-24
MEM0008,2024-12-16
MEM0008,2023-06-07
MEM0008,2023-09-04
MEM0008,2024-04-21
MEM0008,2024-12-07
MEM0008,2023-10-23
MEM0008,2024-10-29
MEM0008,2024-02-20
MEM0008,2023-06-16
MEM0008,2024-02-22
MEM0008,2023-11-25
MEM0008,2023-06-19
MEM0008,2023-11-21
MEM0008,2024-04-22
MEM0008,2024-04-20
MEM0008,2024-04-30
MEM0008,2024-12-07
MEM0009,2023-05-02
MEM0009,2023-05-05
MEM0009,2023-03-21
MEM0009,2023-01-14
MEM0009,2023-02-08
MEM0009,2023-03-22
MEM0009,2023-04-14
MEM0009,2023-02-09
MEM0009,2023-01-06
MEM0009,2023-02-14
MEM0009,2023-03-10
MEM0009,2023-01-27
MEM0009,2023-03-06
MEM0009,2023-03-10
MEM0009,2023-04-08
MEM0009,2023-03-18
MEM0009,2023-01-16
MEM0009,2023-04-20
MEM0009,2023-04-16
MEM0009,2023-01-19
MEM0009,2023-03-06
MEM0009,2023-02-04
MEM0009,2023-02-09
MEM0009,2023-03-31
MEM0009,2023-02-11
MEM0009,2023-01-10
MEM0009,2023-03-29
MEM0009,2023-05-08
MEM0009,2023-03-24
MEM0009,2023-01-31
MEM0009,2023-03-08
MEM0009,2023-01-09
MEM0009,2023-04-04
MEM0009,2023-04-24
MEM0009,2023-02-16
MEM0009,2023-04-04
MEM0009,2023-01-23
MEM0009,2023-02-14
MEM0009,2023-03-18
MEM0009,2023-02-13
MEM0009,2023-04-19
MEM0009,2023-01-19
MEM0009,2023-02-06
MEM0009,2023-02-25
MEM0009,2023-02-12
MEM0009,2023-04-12
MEM0009,2023-01-28
MEM0009,2023-03-09
MEM0009,2023-01-20
MEM0009,2023-04-12
MEM0009,2023-01-30
MEM0009,2023-01-22
MEM0009,2023-04-12
MEM0009,2023-04-26
MEM0009,2023-05-04
MEM0009,2023-03-12
MEM0009,2023-03-24
MEM0009,2023-02-27
MEM0009,2023-04-19
MEM0009,2023-04-19
MEM0009,2023-02-25
MEM0009,2023-02-13
MEM0009,2023-02-25
MEM0009,2023-03-16
MEM0009,2023-01-11
MEM0009,2023-03-13
MEM0009,2023-01-12
MEM0009,2023-02-25
MEM0009,2023-03-18
MEM0009,2023-02-16
MEM0009,2023-03-10
MEM0009,2023-05-01
MEM0009,2023-01-20
MEM0009,2023-04-26
MEM0009,2023-02-03
MEM0009,2023-02-07
MEM0009,2023-05-01
MEM0009,2023-04-09
MEM0009,2023-04-18
MEM0009,2023-02-01
MEM0009,2023-02-10
MEM0009,2023-02-03
MEM0009,2023-02-12
MEM0009,2023-03-03
MEM0009,2023-04-12
MEM0009,2023-04-16
MEM0009,2023-02-01
MEM0009,2023-03-01
MEM0009,2023-02-07
MEM0009,2023-03-14
MEM0009,2023-04-01
MEM0009,2023-03-12
MEM0009,2023-01-15
MEM0009,2023-01-10
MEM0009,2023-05-08
MEM0009,2023-03-20
MEM0009,2023-04-12
MEM0009,2023-05-03
MEM0009,2023-02-12
MEM0009,2023-01-18
MEM0009,2023-02-05
MEM0009,2023-02-21
MEM0009,2023-04-15
MEM0009,2023-04-24
MEM0009,2023-04-03
MEM0009,2023-02-26
MEM0009,2023-03-02
MEM0009,2023-01-20
MEM0009,2023-02-03
MEM0009,2023-01-13
MEM0009,2023-01-10
MEM0009,2023-02-03
MEM0009,2023-02-21
MEM0009,2023-03-14
MEM0009,2023-03-22
MEM0009,2023-02-19
MEM0009,2023-01-07
MEM0010,2023-03-28
MEM0010,2024-11-08
MEM0010,2023-01-29
MEM0010,2023-09-29
MEM0010,2024-07-21
MEM0010,2023-06-01
MEM0010,2024-12-30
MEM0010,2023-02-10
MEM0010,2023-12-30
MEM0010,2023-11-16
MEM0010,2024-01-16
MEM0010,2024-02-18
MEM0010,2023-08-24
MEM0010,2023-06-08
MEM0010,2024-09-25
MEM0010,2023-08-16
MEM0010,2024-10-02
MEM0010,2024-09-25
MEM0010,2024-12-01
MEM0010,2024-04-22
MEM0010,2024-01-09
MEM0010,2023-12-08
MEM0010,2023-05-31
MEM0010,2023-05-25
MEM0010,2023-05-04
MEM0010,2024-09-13
MEM0010,2024-01-31
MEM0010,2023-03-10
MEM0010,2023-02-16
MEM0010,2024-04-24
MEM0010,2023-11-10
MEM0010,2023-11-11
MEM0010,2024-02-29
MEM0010,2024-09-22
MEM0010,2024-02-27
MEM0010,2023-12-30
MEM0010,2024-10-01
MEM0010,2024-03-13
MEM0010,2023-07-19
MEM0010,2023-01-19
MEM0010,2024-08-07
MEM0010,2024-01-24
MEM0010,2024-11-09
MEM0010,2024-03-24
MEM0010,2023-11-23
MEM0010,2023-06-04
MEM0010,2023-08-08
MEM0010,2024-03-29
MEM0010,2023-11-27
MEM0010,2023-05-15
MEM0010,2024-11-14
MEM0010,2024-08-15
MEM0010,2023-09-19
MEM0010,2024-07-08
MEM0010,2024-09-11
MEM0010,2023-04-03
MEM0010,2024-02-08
MEM0010,2023-08-16
MEM0010,2024-05-07
