Member ID,Gender,Age,Join Date,Cancel Date,Trainer Assigned
MEM0096,Other,21,2023-12-22,2024-07-31,Trainer B
MEM0097,Other,28,2023-10-06,,Trainer B
MEM0098,Other,32,2023-05-07,,Trainer C
MEM0099,Male,26,2023-06-22,2024-04-12,Trainer A
MEM0100,Other,48,2023-04-27,,Trainer C
MEM0101,Female,34,2023-01-21,2023-04-08,Trainer A
MEM0102,Female,38,2023-04-25,2023-10-03,Trainer A
MEM0103,Other,48,2023-11-08,2024-09-17,Trainer A
MEM0104,Female,35,2023-11-06,,Trainer A
MEM0105,Male,30,2023-02-25,,Trainer B
MEM0106,Female,30,2023-08-04,2024-04-12,Trainer C
MEM0107,Male,24,2023-10-20,,Trainer B
MEM0108,Female,52,2023-10-23,2023-12-09,Trainer A
MEM0109,Other,55,2023-05-27,,Trainer C
MEM0110,Male,47,2023-09-21,2023-12-14,Trainer B
MEM0111,Male,38,2023-05-09,2023-10-11,Trainer A
MEM0112,Female,22,2023-12-12,,Trainer B
MEM0113,Male,24,2023-05-07,,Trainer A
MEM0114,Other,48,2023-02-22,2023-07-29,Trainer B
MEM0115,Other,55,2023-10-15,2024-07-27,Trainer C
MEM0116,Other,43,2023-06-24,,Trainer C
MEM0117,Male,25,2023-10-15,,Trainer C
MEM0118,Female,31,2023-02-06,,Trainer C
MEM0119,Female,43,2023-06-15,,Trainer A
MEM0120,Female,42,2023-11-20,2024-03-30,Trainer C
MEM0121,Male,30,2023-05-04,2023-09-13,Trainer B
MEM0122,Male,29,2023-08-15,,Trainer A
MEM0123,Other,46,2023-01-10,2023-05-03,Trainer B
MEM0124,Female,33,2023-05-22,,Trainer C
MEM0125,Other,27,2023-05-03,,Trainer C
MEM0126,Female,35,2023-09-18,,Trainer B
MEM0127,Female,53,2023-11-05,,Trainer C
MEM0128,Female,20,2023-06-19,,Trainer C
MEM0129,Female,56,2023-06-19,,Trainer C
MEM0130,Female,35,2023-11-13,,Trainer B
MEM0131,Other,56,2023-08-17,,Trainer A
MEM0132,Other,51,2023-04-16,2024-02-19,Trainer A
MEM0133,Other,48,2023-09-12,,Trainer A
MEM0134,Male,30,2023-11-11,,Trainer C
MEM0135,Female,46,2023-07-11,,Trainer A
MEM0136,Female,57,2023-01-07,,Trainer B
MEM0137,Other,54,2023-04-14,2023-05-28,Trainer B
MEM0138,Male,22,2023-06-18,2024-04-24,Trainer B
MEM0139,Other,33,2023-04-12,,Trainer A
MEM0140,Male,50,2023-12-05,,Trainer B
MEM0141,Male,53,2023-11-28,,Trainer B
MEM0142,Female,27,2023-02-15,,Trainer A
MEM0143,Male,56,2023-01-02,,Trainer B
MEM0144,Other,38,2023-07-22,,Trainer A
MEM0145,Other,26,2023-08-05,2023-11-28,Trainer A
MEM0146,Male,54,2023-02-26,2023-05-18,Trainer B
MEM0147,Male,23,2023-06-12,,Trainer C
MEM0148,Female,47,2023-08-13,,Trainer B
MEM0149,Other,30,2023-04-04,,Trainer A
MEM0150,Female,40,2023-06-23,2024-04-13,Trainer C
MEM0151,Other,54,2023-11-25,,Trainer A
MEM0152,Male,28,2023-05-20,,Trainer B
MEM0153,Male,25,2023-07-05,2024-03-07,Trainer B
MEM0154,Female,37,2023-07-18,2024-01-17,Trainer B
MEM0155,Male,18,2023-03-27,,Trainer A
MEM0156,Female,50,2023-01-13,,Trainer C
MEM0157,Other,38,2023-12-16,,Trainer B
MEM0158,Male,46,2023-01-19,,Trainer A
MEM0159,Male,29,2023-03-04,2023-10-09,Trainer B
MEM0160,Female,19,2023-04-06,,Trainer A
MEM0161,Other,57,2023-03-09,,Trainer C
MEM0162,Female,33,2023-09-22,2024-08-20,Trainer C
MEM0163,Female,50,2023-08-12,2024-03-23,Trainer A
MEM0164,Male,24,2023-12-12,,Trainer C
MEM0165,Other,18,2023-07-18,2023-10-13,Trainer A
MEM0166,Female,53,2023-10-14,2024-08-30,Trainer A
MEM0167,Other,58,2023-07-16,,Trainer A
MEM0168,Other,25,2023-05-27,2023-11-15,Trainer C
MEM0169,Male,26,2023-11-23,,Trainer C
MEM0170,Female,52,2023-06-12,,Trainer B
MEM0171,Other,19,2023-10-11,2024-02-22,Trainer A
MEM0172,Male,55,2023-04-22,,Trainer A
MEM0173,Other,52,2023-03-08,,Trainer C
MEM0174,Male,57,2023-12-01,2024-11-29,Trainer B
MEM0175,Female,42,2023-09-06,,Trainer A
MEM0176,Male,47,2023-10-18,,Trainer C
MEM0177,Male,53,2023-02-03,2023-10-31,Trainer C
MEM0178,Other,23,2023-01-27,,Trainer A
MEM0179,Female,19,2023-10-08,,Trainer A
MEM0180,Male,38,2023-11-13,2024-05-31,Trainer A
MEM0181,Female,24,2023-06-15,2024-04-29,Trainer A
MEM0182,Female,39,2023-08-09,,Trainer B
MEM0183,Male,57,2023-06-02,,Trainer C
MEM0184,Other,36,2023-10-13,,Trainer A
MEM0185,Male,46,2023-11-09,2024-06-27,Trainer C
MEM0186,Other,51,2023-12-04,,Trainer C
MEM0187,Male,51,2023-08-06,,Trainer A
MEM0188,Female,44,2023-01-08,2023-10-22,Trainer A
MEM0189,Male,18,2023-08-27,2023-11-11,Trainer A
MEM0190,Male,45,2023-09-02,,Trainer B
MEM0191,Male,39,2023-11-27,,Trainer B
MEM0192,Male,28,2023-05-13,,Trainer A
MEM0193,Female,23,2023-07-23,,Trainer A
MEM0194,Other,40,2023-10-21,,Trainer C
MEM0195,Male,27,2023-07-05,,Trainer A
MEM0196,Other,42,2023-07-08,2024-01-24,Trainer B
MEM0197,Female,55,2023-12-13,2024-02-20,Trainer C
MEM0198,Female,44,2023-06-25,,Trainer A
MEM0199,Male,25,2023-11-15,,Trainer B
